Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,doors_int,seats_int,LitresPer100km,used_0_new_1,transmission_auto,age,color_primary,std_color,color_black,color_white,color_gray,color_silver,color_red,fuel_bucket,fuel_cat_Gasoline,fuel_cat_Diesel,fuel_cat_Electric,fuel_cat_Hybrid,Brand_Bucket,brand_cat_Economy,brand_cat_Luxury,brand_cat_Premium,brand_cat_Ultra Luxury,cylinders,engine_l,make_model,price_bin,make_model_segment,CarBodyType_Cleaned,log_price,age_squared,Body_type_Other,Body_type_SUV,Body_type_Sedan,Body_type_Wagon,Make_Model_cat_economy,Make_Model_cat_premium
Kia,2018.0,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,42071.0,Red / Black,"Homebush, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,24999.0,5,5,5.4,0,1,5.0,Red,red,0,0,0,0,1,Gasoline,1,0,0,0,Premium,0,0,1,0,3,1.0,Kia RIO,20–35k,budget,Hatchback,10.126631103850338,25.0,0,0,0,0,0,0
Jeep,2015.0,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,"6 cyl, 3.2 L",4WD,Unleaded,10 L / 100 km,85958.0,Red / Black Cloth,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,17999.0,4,5,10.0,0,1,8.0,Red,red,0,0,0,0,1,Gasoline,1,0,0,0,Premium,0,0,1,0,6,3.2,Jeep Cherokee,0–20k,budget,SUV,9.798127036878302,64.0,0,1,0,0,0,0
Volkswagen,2011.0,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,118642.0,Black / -,"Lidcombe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12990.0,4,5,8.8,0,1,12.0,Black,black,1,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Volkswagen Tiguan,0–20k,premium,SUV,9.472012088995733,144.0,0,1,0,0,0,1
Mitsubishi,2012.0,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,187265.0,Blue / -,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990.0,4,5,7.9,0,1,11.0,Blue,others,0,0,0,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Mitsubishi ASX,0–20k,economy,SUV,9.546169544733285,121.0,0,1,0,0,1,0
Hyundai,2022.0,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,19978.0,White / -,"Smithfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,36800.0,4,5,8.1,0,1,1.0,White,white,0,1,0,0,0,Gasoline,1,0,0,0,Economy,1,0,0,0,4,2.0,Hyundai Tucson,35–65k,economy,SUV,10.513280297700861,1.0,0,1,0,0,1,0
Mazda,2011.0,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,86804.0,Grey / Grey,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,13999.0,4,5,8.2,0,1,12.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Mazda 3,0–20k,budget,Sedan,9.546812608597396,144.0,0,0,1,0,0,0
Hyundai,2014.0,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9 L / 100 km,183550.0,White / Grey  Cloth,"Bankstown, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,19888.0,4,8,9.0,0,1,9.0,White,white,0,1,0,0,0,Others,0,0,0,0,Economy,1,0,0,0,4,2.5,Hyundai Imax,0–20k,economy,Wagon,9.897922094063247,81.0,0,0,0,1,1,0
Toyota,2016.0,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.4 L / 100 km,139637.0,Grey / Black,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 7 Seats,31900.0,4,7,10.4,0,1,7.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,6,3.5,Toyota Kluger,20–35k,premium,SUV,10.370392636243981,49.0,0,1,0,0,0,1
Mitsubishi,2013.0,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,165306.0,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14995.0,4,5,7.2,0,1,10.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Mitsubishi Lancer,0–20k,budget,Sedan,9.615538777855802,100.0,0,0,1,0,0,0
Subaru,2016.0,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,104887.0,Grey / Black,"North Narrabeen, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22990.0,4,5,7.1,0,1,7.0,Grey,gray,0,0,1,0,0,Gasoline,1,0,0,0,Premium,0,0,1,0,4,2.0,Subaru XV,20–35k,economy,SUV,10.042858113983936,49.0,0,1,0,0,1,0
